filename,group,description
sample_01.png,set1,white front-load washer with side dent and scuffed door ring
sample_02.png,set1,dark Samsung front-load washer with shattered door glass
sample_03.png,set1,damaged white front-load washer with cracked control area
sample_04.png,set1,worn Bosch dryer in workshop with cracked door and dented lower panel
sample_05.png,set1,white front-load washer with rust and stains
sample_06.png,set1,dark front-load washer with shattered main door and scratched body
sample_07.png,set1,damaged white front-load washer with cracked glass and front dent
sample_08.png,set1,dark top-load washer with cracked top lid and front dent
sample_09.png,set1,dark top-load washer with lid damage and residue streaks
sample_10.png,set1,red-white semi-automatic style washer with cracked lid and dented base
sample_11.png,set2,white Bosch front-load washer with dented side panel
sample_12.png,set2,white Bosch washer with cracked control panel area and dirt streaks
sample_13.png,set2,white Bosch washer with shattered door glass in warehouse scene
sample_14.png,set2,white Bosch washer-dryer with rust and worn lower edge
sample_15.png,set2,white Samsung front-load washer with rust and scuffs
sample_16.png,set2,dark Samsung front-load washer with cracked display and side dent
sample_17.png,set2,dark Samsung front-load washer with cracked addwash-style door
sample_18.png,set2,white Bosch washer-dryer with lower front dent
sample_19.png,set2,silver top-load washer with cracked lid and lower dent
sample_20.png,set2,purple top-load washer with cracked lid and heavy scuffs
